id,name,state_id/id
ciudad_2,Aguascalientes,cfd_mx.res_country_state_mx_ags
ciudad_8,Asientos,cfd_mx.res_country_state_mx_ags
ciudad_9,Calvillo,cfd_mx.res_country_state_mx_ags
ciudad_5,Cosío,cfd_mx.res_country_state_mx_ags
ciudad_10,Jesús María ,cfd_mx.res_country_state_mx_ags
ciudad_7,Pabellón de Arteaga,cfd_mx.res_country_state_mx_ags
ciudad_4,Rincón de Romos,cfd_mx.res_country_state_mx_ags
ciudad_3,San Francisco de los Romo,cfd_mx.res_country_state_mx_ags
ciudad_6,Tepezalá,cfd_mx.res_country_state_mx_ags
ciudad_17,Ensenada,cfd_mx.res_country_state_mx_bc
ciudad_11,Mexicali,cfd_mx.res_country_state_mx_bc
ciudad_15,Playas de Rosarito,cfd_mx.res_country_state_mx_bc
ciudad_16,Rodolfo Sánchez T. (Maneadero),cfd_mx.res_country_state_mx_bc
ciudad_13,San Felipe,cfd_mx.res_country_state_mx_bc
ciudad_12,Tecate,cfd_mx.res_country_state_mx_bc
ciudad_14,Tijuana,cfd_mx.res_country_state_mx_bc
ciudad_21,Cabo San Lucas,cfd_mx.res_country_state_mx_bcs
ciudad_22,Ciudad Constitución,cfd_mx.res_country_state_mx_bcs
ciudad_28,Guerrero Negro,cfd_mx.res_country_state_mx_bcs
ciudad_25,Heroica Mulegé,cfd_mx.res_country_state_mx_bcs
ciudad_18,La Paz,cfd_mx.res_country_state_mx_bcs
ciudad_24,Loreto,cfd_mx.res_country_state_mx_bcs
ciudad_23,Puerto Adolfo López Mateos,cfd_mx.res_country_state_mx_bcs
ciudad_26,San Ignacio,cfd_mx.res_country_state_mx_bcs
ciudad_20,San José del Cabo,cfd_mx.res_country_state_mx_bcs
ciudad_19,Todos Santos,cfd_mx.res_country_state_mx_bcs
ciudad_27,Villa Alberto Andrés Alvarado Arámburo,cfd_mx.res_country_state_mx_bcs
ciudad_38,Calkini,cfd_mx.res_country_state_mx_camp
ciudad_32,Candelaria,cfd_mx.res_country_state_mx_camp
ciudad_34,Champotón,cfd_mx.res_country_state_mx_camp
ciudad_30,Ciudad del Carmen,cfd_mx.res_country_state_mx_camp
