id,name,state_id/id,ciudad_id/id
municipio_1,Álvaro Obregón,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_2,Azcapotzalco,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_3,Benito Juárez,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_4,Coyoacán,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_5,Cuajimalpa de Morelos,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_6,Cuauhtémoc,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_7,Gustavo A. Madero,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_8,Iztacalco,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_9,Iztapalapa,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_10,La Magdalena Contreras,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_11,Miguel Hidalgo,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_12,Milpa Alta,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_13,Tláhuac,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_14,Tlalpan,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_15,Venustiano Carranza,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_16,Xochimilco,cfd_mx.res_country_state_mx_df,ciudad_1
municipio_36,Jesús María,cfd_mx.res_country_state_mx_ags,ciudad_10
municipio_336,Ojinaga,cfd_mx.res_country_state_mx_chih,ciudad_100
municipio_339,Aldama,cfd_mx.res_country_state_mx_chih,ciudad_101
municipio_342,Delicias,cfd_mx.res_country_state_mx_chih,ciudad_102
municipio_373,Saucillo,cfd_mx.res_country_state_mx_chih,ciudad_103
municipio_378,Camargo,cfd_mx.res_country_state_mx_chih,ciudad_104
municipio_379,Hidalgo del Parral,cfd_mx.res_country_state_mx_chih,ciudad_105
municipio_385,Jiménez,cfd_mx.res_country_state_mx_chih,ciudad_106
municipio_387,Durango,cfd_mx.res_country_state_mx_dgo,ciudad_107
municipio_391,Canatlán,cfd_mx.res_country_state_mx_dgo,ciudad_108
municipio_393,San Juan del Río,cfd_mx.res_country_state_mx_dgo,ciudad_109
municipio_37,Mexicali,cfd_mx.res_country_state_mx_bc,ciudad_11
municipio_399,Santiago Papasquiaro,cfd_mx.res_country_state_mx_dgo,ciudad_110
municipio_404,Peñón Blanco,cfd_mx.res_country_state_mx_dgo,ciudad_111
municipio_406,Pánuco de Coronado,cfd_mx.res_country_state_mx_dgo,ciudad_112
municipio_408,Nombre de Dios,cfd_mx.res_country_state_mx_dgo,ciudad_113
municipio_410,Vicente Guerrero,cfd_mx.res_country_state_mx_dgo,ciudad_114
municipio_413,Pueblo Nuevo,cfd_mx.res_country_state_mx_dgo,ciudad_115
municipio_416,Gómez Palacio,cfd_mx.res_country_state_mx_dgo,ciudad_116
municipio_418,Lerdo,cfd_mx.res_country_state_mx_dgo,ciudad_117
municipio_430,El Oro,cfd_mx.res_country_state_mx_dgo,ciudad_118
municipio_438,Guanajuato,cfd_mx.res_country_state_mx_gto,ciudad_119
municipio_38,Tecate,cfd_mx.res_country_state_mx_bc,ciudad_12
municipio_439,Silao,cfd_mx.res_country_state_mx_gto,ciudad_120
municipio_440,Romita,cfd_mx.res_country_state_mx_gto,ciudad_121
municipio_443,Guanajuato,cfd_mx.res_country_state_mx_gto,ciudad_122
municipio_445,San Francisco del Rincón,cfd_mx.res_country_state_mx_gto,ciudad_123
municipio_446,Purísima del Rincón,cfd_mx.res_country_state_mx_gto,ciudad_124
municipio_449,Manuel Doblado,cfd_mx.res_country_state_mx_gto,ciudad_125
municipio_451,Irapuato,cfd_mx.res_country_state_mx_gto,ciudad_126
municipio_452,Salamanca,cfd_mx.res_country_state_mx_gto,ciudad_127
municipio_456,Pénjamo,cfd_mx.res_country_state_mx_gto,ciudad_128
municipio_458,Cuerámaro,cfd_mx.res_country_state_mx_gto,ciudad_129
municipio_41,Mexicali,cfd_mx.res_country_state_mx_bc,ciudad_13
municipio_460,Abasolo,cfd_mx.res_country_state_mx_gto,ciudad_130
municipio_462,Huanímaro,cfd_mx.res_country_state_mx_gto,ciudad_131
municipio_464,León,cfd_mx.res_country_state_mx_gto,ciudad_132
municipio_468,San Miguel de Allende,cfd_mx.res_country_state_mx_gto,ciudad_133
municipio_470,San Diego de la Unión,cfd_mx.res_country_state_mx_gto,ciudad_134
municipio_473,San Luis de la Paz,cfd_mx.res_country_state_mx_gto,ciudad_135
municipio_479,Doctor Mora,cfd_mx.res_country_state_mx_gto,ciudad_136
municipio_482,San José Iturbide,cfd_mx.res_country_state_mx_gto,ciudad_137
municipio_484,Celaya,cfd_mx.res_country_state_mx_gto,ciudad_138
municipio_486,Celaya,cfd_mx.res_country_state_mx_gto,ciudad_139
municipio_42,Tijuana,cfd_mx.res_country_state_mx_bc,ciudad_14
municipio_487,Apaseo el Grande,cfd_mx.res_country_state_mx_gto,ciudad_140
municipio_489,Comonfort,cfd_mx.res_country_state_mx_gto,ciudad_141
municipio_491,Comonfort,cfd_mx.res_country_state_mx_gto,ciudad_142
municipio_492,Santa Cruz de Juventino Rosas,cfd_mx.res_country_state_mx_gto,ciudad_143
municipio_494,Villagrán,cfd_mx.res_country_state_mx_gto,ciudad_144
municipio_496,Cortazar,cfd_mx.res_country_state_mx_gto,ciudad_145
municipio_497,Valle de Santiago,cfd_mx.res_country_state_mx_gto,ciudad_146
municipio_499,Jaral del Progreso,cfd_mx.res_country_state_mx_gto,ciudad_147
municipio_502,Apaseo el Alto,cfd_mx.res_country_state_mx_gto,ciudad_148
municipio_504,Jerécuaro,cfd_mx.res_country_state_mx_gto,ciudad_149
municipio_43,Playas de Rosarito,cfd_mx.res_country_state_mx_bc,ciudad_15
municipio_507,Acámbaro,cfd_mx.res_country_state_mx_gto,ciudad_150
municipio_510,Tarandacuao,cfd_mx.res_country_state_mx_gto,ciudad_151
municipio_512,Moroleón,cfd_mx.res_country_state_mx_gto,ciudad_152
municipio_513,Salvatierra,cfd_mx.res_country_state_mx_gto,ciudad_153
municipio_515,Yuriria,cfd_mx.res_country_state_mx_gto,ciudad_154
