state_id,id,name,state_id/id
cfd_mx.res_country_state_mx_ags,ciudad_2,Aguascalientes,cfd_mx.res_country_state_mx_ags
cfd_mx.res_country_state_mx_ags,ciudad_5,Cosío,cfd_mx.res_country_state_mx_ags
cfd_mx.res_country_state_mx_bc,ciudad_12,Tecate,cfd_mx.res_country_state_mx_bc
cfd_mx.res_country_state_mx_bcs,ciudad_27,Villa Alberto Andrés Alvarado Arámburo,cfd_mx.res_country_state_mx_bcs
cfd_mx.res_country_state_mx_chih,ciudad_96,Bachíniva,cfd_mx.res_country_state_mx_chih
cfd_mx.res_country_state_mx_chih,ciudad_104,Santa Rosalía de Camargo,cfd_mx.res_country_state_mx_chih
cfd_mx.res_country_state_mx_chis,ciudad_91,Cacahoatán,cfd_mx.res_country_state_mx_chis
cfd_mx.res_country_state_mx_chis,ciudad_81,Cintalapa de Figueroa,cfd_mx.res_country_state_mx_chis
cfd_mx.res_country_state_mx_chis,ciudad_77,Comitán de Domínguez,cfd_mx.res_country_state_mx_chis
cfd_mx.res_country_state_mx_chis,ciudad_76,Palenque,cfd_mx.res_country_state_mx_chis
cfd_mx.res_country_state_mx_gro,ciudad_169,Buenavista de Cuellar,cfd_mx.res_country_state_mx_gro
cfd_mx.res_country_state_mx_gto,ciudad_138,Celaya,cfd_mx.res_country_state_mx_gto
cfd_mx.res_country_state_mx_gto,ciudad_136,Doctor Mora,cfd_mx.res_country_state_mx_gto
cfd_mx.res_country_state_mx_gto,ciudad_123,San Francisco del Rincón,cfd_mx.res_country_state_mx_gto
cfd_mx.res_country_state_mx_hgo,ciudad_199,Zimapan,cfd_mx.res_country_state_mx_hgo
cfd_mx.res_country_state_mx_jal,ciudad_226,Ajijic,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_239,Arandas,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_258,Autlán de Navarro,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_260,Cihuatlán,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_236,Jalostotitlán,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_227,Poncitlán,cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_jal,ciudad_219,San José el Verde (El Verde),cfd_mx.res_country_state_mx_jal
cfd_mx.res_country_state_mx_mex,ciudad_286,Santa Maria Tultepec,cfd_mx.res_country_state_mx_mex
cfd_mx.res_country_state_mx_mex,ciudad_281,Tepotzotlán,cfd_mx.res_country_state_mx_mex
cfd_mx.res_country_state_mx_mex,ciudad_299,Valle de Chalco Solidaridad,cfd_mx.res_country_state_mx_mex
cfd_mx.res_country_state_mx_mich,ciudad_328,Huetamo de Núñez,cfd_mx.res_country_state_mx_mich
cfd_mx.res_country_state_mx_mich,ciudad_322,Maravatío de Ocampo,cfd_mx.res_country_state_mx_mich
cfd_mx.res_country_state_mx_mich,ciudad_327,Nueva Italia de Ruiz,cfd_mx.res_country_state_mx_mich
cfd_mx.res_country_state_mx_mor,ciudad_332,Santa Rosa Treinta,cfd_mx.res_country_state_mx_mor
cfd_mx.res_country_state_mx_nl,ciudad_360,Ciudad General Escobedo,cfd_mx.res_country_state_mx_nl
cfd_mx.res_country_state_mx_oax,ciudad_404,San Pedro Totolapa,cfd_mx.res_country_state_mx_oax
cfd_mx.res_country_state_mx_pue,ciudad_442,Atlixco,cfd_mx.res_country_state_mx_pue
cfd_mx.res_country_state_mx_pue,ciudad_434,San Pedro Cholula,cfd_mx.res_country_state_mx_pue
cfd_mx.res_country_state_mx_sin,ciudad_495,San Blas,cfd_mx.res_country_state_mx_sin
cfd_mx.res_country_state_mx_sin,ciudad_496,Sinaloa de Leyva,cfd_mx.res_country_state_mx_sin
cfd_mx.res_country_state_mx_slp,ciudad_466,Ciudad Valles,cfd_mx.res_country_state_mx_slp
cfd_mx.res_country_state_mx_slp,ciudad_460,San Luis Potosí,cfd_mx.res_country_state_mx_slp
cfd_mx.res_country_state_mx_slp,ciudad_475,Tierra Nueva,cfd_mx.res_country_state_mx_slp
cfd_mx.res_country_state_mx_son,ciudad_507,Sonoita,cfd_mx.res_country_state_mx_son
cfd_mx.res_country_state_mx_tab,ciudad_47,Nava,cfd_mx.res_country_state_mx_tab
cfd_mx.res_country_state_mx_tab,ciudad_41,San Buenaventura,cfd_mx.res_country_state_mx_tab
cfd_mx.res_country_state_mx_tamps,ciudad_548,Xicoténcatl,cfd_mx.res_country_state_mx_tamps
cfd_mx.res_country_state_mx_ver,ciudad_619,Agua dulce,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_603,Cosamaloapan,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_576,Gutiérrez Zamora,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_582,Huatusco de Chicuellar,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_560,José Cardel,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_605,Playa Vicente,cfd_mx.res_country_state_mx_ver
cfd_mx.res_country_state_mx_ver,ciudad_608,San Andrés Tuxtla,cfd_mx.res_country_state_mx_ver
